id,completion_date,group,user,job_id,tool,host,duration,queue_time,status,resources1,resources2,resources3,resources4,resources5
41510,16/07/2023 03:27:17,/proj/users.ci,ci,6206716,xrun,hl-xn124,7s,0s,Done,CORES/1,RAM/512,,,
41511,16/07/2023 03:27:38,/proj/users.ci,ci,6206730,xrun,hl-xn124,20s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41512,16/07/2023 03:28:14,/proj/users.ci,ci,6206736,xrun,hl-xn124,4s,0s,Done,CORES/1,RAM/512,,,
41513,16/07/2023 03:28:33,/proj/users.ci,ci,6206740,xrun,hl-xn124,18s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41514,16/07/2023 03:29:09,/proj/users.ci,ci,6206744,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41515,16/07/2023 03:29:28,/proj/users.ci,ci,6206748,xrun,hl-xn124,19s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41516,16/07/2023 03:30:02,/proj/users.ci,ci,6206752,xrun,hl-xn124,4s,0s,Done,CORES/1,RAM/512,,,
41517,16/07/2023 03:30:21,/proj/users.ci,ci,6206756,xrun,hl-xn124,18s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41518,16/07/2023 03:30:42,/proj/users.ci,ci,6206760,xrun,hl-xn124,13s,0s,Done,CORES/1,RAM/512,,,
41519,16/07/2023 03:30:52,/proj/users.ci,ci,6206764,xrun,hl-xn124,10s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41520,16/07/2023 03:30:53,/proj/users.ci,ci,6206773,xrun,hl-xn134,5s,0s,Done,CORES/1,RAM/512,,,
41521,16/07/2023 03:31:02,/proj/users.ci,ci,6206768,xrun,hl-xn134,14s,0s,Done,CORES/1,RAM/2000,,,
41522,16/07/2023 03:31:23,/proj/users.ci,ci,6206776,xrun,hl-xn124,30s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41523,16/07/2023 03:31:30,/proj/users.ci,ci,6206781,xrun,hl-xn134,27s,0s,Failed,CORES/1,RAM/8000,License:Xcelium_Single_Core#1,Limit:core_top_two_clusters_sim_ci#1,
41524,16/07/2023 03:31:58,/proj/users.ci,ci,6206787,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41525,16/07/2023 03:32:31,/proj/users.ci,ci,6206791,xrun,hl-xn124,31s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41526,16/07/2023 03:33:06,/proj/users.ci,ci,6206795,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41527,16/07/2023 03:33:44,/proj/users.ci,ci,6206799,xrun,hl-xn124,38s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41528,16/07/2023 03:34:20,/proj/users.ci,ci,6206803,xrun,hl-xn124,4s,0s,Done,CORES/1,RAM/512,,,
41529,16/07/2023 03:35:00,/proj/users.ci,ci,6206807,xrun,hl-xn124,39s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41530,16/07/2023 03:35:36,/proj/users.ci,ci,6206811,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41531,16/07/2023 03:35:51,/proj/users.ci,ci,6206815,xrun,hl-xn124,14s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41532,16/07/2023 03:36:22,/proj/users.ci,ci,6206819,xrun,hl-xn124,4s,0s,Done,CORES/1,RAM/512,,,
41533,16/07/2023 03:36:42,/proj/users.ci,ci,6206823,xrun,hl-xn124,19s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41534,16/07/2023 03:37:14,/proj/users.ci,ci,6206827,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41535,16/07/2023 03:37:52,/proj/users.ci,ci,6206831,xrun,hl-xn124,37s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41536,16/07/2023 03:38:40,/proj/users.ci,ci,6206843,xrun,hl-xn124,5s,0s,Done,CORES/1,RAM/512,,,
41537,16/07/2023 03:42:36,/proj/users.ci,ci,6206847,xrun,hl-xn124,3m55s,0s,Failed,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,Limit:cluster_sim_ci#1,
41538,16/07/2023 03:48:48,/proj/users.ci,ci,6206851,xrun,hl-xn124,13s,0s,Done,CORES/1,RAM/2048MB,License:Xcelium_Single_Core#1,,
41539,16/07/2023 03:50:56,/proj/users.ci,ci,6206865,xrun,hl-xn124,2m06s,0s,Failed,CORES/1,RAM/2048MB,License:Xcelium_Single_Core#1,,
41540,16/07/2023 03:51:34,/proj/users.ci,ci,6206869,xrun,hl-xn124,8s,0s,Done,CORES/1,RAM/2048MB,License:Xcelium_Single_Core#1,,
41541,16/07/2023 03:56:41,/proj/users.ci,ci,6206875,xrun,hl-xn124,5m06s,0s,Failed,CORES/1,RAM/2048MB,License:Xcelium_Single_Core#1,,
